property,time_ambulance_called,time_ambulance_called,time_ambulance_arrival,time_ambulance_arrival,time_ambulance_leaves_scene,time_ambulance_leaves_scene,time_admitting_unit_arrival,time_admitting_unit_arrival,time_needle,time_needle,time_transfer_unit_arrival,time_transfer_unit_arrival,time_puncture,time_puncture,mRS shift,mRS shift,utility_shift,utility_shift,mRS 0-2,mRS 0-2
subtype,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
unit,,,,,,,,,,,,,,,,,,,,
BA13NG,30.0,0.0,60.0,0.0,80.0,0.0,104.4051532033426,8.261779632510247,134.4150115473441,8.354244932432259,197.31654676258992,8.514153579607619,257.31654676258995,8.514153579607624,-0.5338887387028036,0.0245498500152885,0.10160817046952407,0.008127688537815864,0.588192775674797,0.14154553541559267
BA214AT,30.0,0.0,60.0,0.0,80.0,0.0,104.15073684210526,9.578050157238058,133.68908450704225,9.834132555365944,239.27727272727273,9.29670612568359,299.2772727272727,9.296706125683588,-0.48710077999654794,0.05902902649122255,0.0933450988168688,0.006825810954134119,0.558323144914502,0.1610604141230128
BS105NB,30.0,0.0,60.0,0.0,80.0,0.0,99.1195067264574,5.028085049258908,129.01208791208794,5.067938476665482,,,128.69936305732483,4.883232651652483,-0.6640556731446711,0.19888622142529988,0.12525328497351648,0.04164647766898832,0.6243981549073641,0.09976548854913532
BS234TQ,30.0,0.0,60.0,0.0,80.0,0.0,101.75548780487804,7.915013857499752,131.7530303030303,7.82070897561132,204.9308641975309,7.4336841803931435,264.93086419753087,7.433684180393135,-0.5306057229824358,0.019689793710460986,0.10076455658509091,0.005661737131892779,0.5918399192851276,0.14272027465900142
EX25DW,30.0,0.0,60.0,0.0,80.0,0.0,103.61053571428572,10.42387755713259,133.93462686567165,10.26610292402046,224.8988764044944,11.10084450495488,284.8988764044944,11.100844504954885,-0.511652313740931,0.03831664419554192,0.09676709570533204,0.004746269238063738,0.6007210949889797,0.14196803325959623
EX314JB,30.0,0.0,60.0,0.0,80.0,0.0,105.7473441108545,11.727434936866771,135.38423076923078,11.939403849056461,256.685393258427,12.532326840486254,316.685393258427,12.532326840486252,-0.4708345016922292,0.0812946039152423,0.08980015213995711,0.01098621697439536,0.5689541938530814,0.16163573665000258
GL13NN,30.0,0.0,60.0,0.0,80.0,0.0,102.08222811671088,8.318272328089225,131.99884792626727,8.433224930850951,207.835,8.127694240623512,267.83500000000004,8.127694240623526,-0.5268099825395479,0.022078921483383234,0.10022214302942538,0.005378861361693643,0.5862341769253777,0.14533089167299845
PL68DH,30.0,0.0,60.0,0.0,80.0,0.0,101.96552706552707,11.305723353015935,131.64769975786925,11.308973831144861,,,131.87164179104477,11.461649764731433,-0.6731381141167567,0.20501416607481163,0.1273796674318205,0.04287566078768893,0.6149036260917092,0.10388303586170597
SN36BB,30.0,0.0,60.0,0.0,80.0,0.0,103.90329835082458,9.162856926881743,133.89116883116884,9.130624689692706,213.9343511450382,9.217130965197077,273.9343511450382,9.217130965197077,-0.5180156784157735,0.027166451384243485,0.09877059781043461,0.004862318340488949,0.5790492538497142,0.14888954696109788
SP28BJ,30.0,0.0,60.0,0.0,80.0,0.0,100.54943396226415,8.12226700307844,130.35704697986577,7.943714624252425,195.325,6.960991809846079,255.325,6.960991809846086,-0.5413607475892989,0.022125512012914267,0.10265244844913855,0.007670110852132205,0.5975267123964836,0.1387835900796128
TA15DA,30.0,0.0,60.0,0.0,80.0,0.0,103.89322033898306,10.04441416092869,133.99848484848485,10.033928649392877,230.55408163265307,10.19654447599771,290.55408163265304,10.196544475997701,-0.5039229015030381,0.044819132555066095,0.09562939735068578,0.005110247731746521,0.5895371447469425,0.14842011301339858
TQ27AA,30.0,0.0,60.0,0.0,80.0,0.0,97.94151291512915,8.139663047544367,127.92289156626506,7.557494834234128,210.18636363636364,7.9312698668887665,270.18636363636364,7.931269866888782,-0.5309629261086669,0.02419522055533526,0.10098788553507891,0.004238281610630228,0.5842844853841533,0.14796761896437463
TR13LQ,30.0,0.0,60.0,0.0,80.0,0.0,107.61404728789987,9.738765266551033,137.83419023136247,9.621321799519249,242.80677966101695,8.486749136642414,302.80677966101695,8.486749136642405,-0.4851658974924159,0.05550260124528305,0.09223156333864647,0.006443001200542901,0.5838937202801279,0.15195301481031406
