property,,time_ambulance_called,time_ambulance_called,time_ambulance_arrival,time_ambulance_arrival,time_ambulance_leaves_scene,time_ambulance_leaves_scene,time_admitting_unit_arrival,time_admitting_unit_arrival,time_needle,time_needle,time_transfer_unit_arrival,time_transfer_unit_arrival,time_puncture,time_puncture,mRS shift,mRS shift,utility_shift,utility_shift,mRS 0-2,mRS 0-2,reference_admissions,reference_relative_frequency
subtype,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,,
lsoa,lsoa_code,,,,,,,,,,,,,,,,,,,,,,
Basingstoke and Deane 003C,E01022499,30.0,,60.0,,80.0,,115.9,,,,,,,,,,,,,,1.666666667,0.000214141933316202
Bath and North East Somerset 001B,E01014400,30.0,0.0,60.0,0.0,80.0,0.0,97.6,0.0,127.6,0.0,,,,,-0.5414833481997912,0.0,0.09944733542126116,0.0,0.6883367266385902,0.0,4.0,0.0005139406398560967
Bath and North East Somerset 001C,E01014401,30.0,,60.0,,80.0,,98.7,,128.7,,192.4,,252.4,,-0.5669048899665166,,0.1149294838894665,,0.38580020095092876,,2.333333333,0.00029979870653989467
Bath and North East Somerset 002A,E01014402,30.0,0.0,60.0,0.0,80.0,0.0,100.8,0.0,130.8,,194.5,,254.5,,-0.5602190825630222,,0.11366533779835436,,0.38445336514854483,,3.666666667,0.00047111225324425026
Bath and North East Somerset 002B,E01014403,30.0,0.0,60.0,0.0,80.0,0.0,98.7,0.0,128.7,0.0,,,,,-0.5390674957331283,0.0,0.09903040499309557,0.0,0.6878846615841877,0.0,5.666666667,0.0007280825731722986
Bath and North East Somerset 002C,E01014404,30.0,0.0,60.0,0.0,80.0,0.0,99.8,0.0,129.8,,,,,,-0.5366505671229076,,0.09861312277405798,,0.6874322385683737,,1.333333333,0.00017131354657587048
Bath and North East Somerset 003A,E01014395,30.0,,60.0,,80.0,,97.6,,127.6,,,,,,-0.5414833481997912,,0.09944733542126116,,0.6883367266385902,,1.0,0.00012848515996402416
Bath and North East Somerset 003B,E01014396,30.0,0.0,60.0,0.0,80.0,0.0,96.5,0.0,126.5,0.0,,,,,-0.5438981216914698,0.0,0.09986391380020931,0.0,0.6887884331545439,0.0,2.666666667,0.0003426270932802261
