from_postcode,BT126BA,BT161RH,BT358DR,BT412RL,BT476SB,BT521HS,BT635QQ,BT746DN
N00000001,31.4005615242259,37.8526650536016,64.2236410011559,19.0326579023751,79.8956428122916,61.9268585241596,36.5804618603731,102.7
N00000002,24.6777297765005,37.8526650536016,61.9268585241596,23.2922777214499,83.2,65.3660455230301,34.0096740062926,100.1
N00000003,24.6777297765005,37.8526650536016,63.0772787396216,20.4713346082219,80.9910768517414,63.0772787396216,35.2996111471651,101.4
N00000004,30.0802640216665,42.8625469209214,66.5045880112487,24.6777297765005,83.2,65.3660455230301,39.1166217609521,105.3
N00000005,32.7101681851292,40.372699739972,66.5045880112487,16.0884404323873,76.5915751408553,58.4501735056364,40.372699739972,106.6
N00000006,27.4048869057523,40.372699739972,64.2236410011559,20.4713346082219,79.8956428122916,61.9268585241596,36.5804618603731,102.7
N00000007,32.7101681851292,40.372699739972,68.7704488886652,13.034936869946,74.3734648968056,56.1100223905244,42.8625469209214,109.2
N00000008,28.7486181479082,36.5804618603731,67.6393599541199,13.034936869946,75.4841013054998,57.2824173957882,41.6212373612667,107.9
N00000009,27.4048869057523,35.2996111471651,69.8979386453122,14.5772411907136,75.4841013054998,57.2824173957882,41.6212373612667,107.9
N00000010,28.7486181479082,36.5804618603731,65.3660455230301,17.5725337832552,77.6959497099794,60.7722753147343,37.8526650536016,104
N00000011,30.0802640216665,37.8526650536016,73.2596001590327,11.4562670706944,72.142438746773,54.9328533660975,44.0969174783216,110.5
N00000012,30.0802640216665,37.8526650536016,73.2596001590327,9.83402616304834,72.142438746773,54.9328533660975,44.0969174783216,110.5
N00000013,30.0802640216665,37.8526650536016,73.2596001590327,9.83402616304834,72.142438746773,53.7507676882285,44.0969174783216,110.5
N00000014,30.0802640216665,37.8526650536016,72.142438746773,9.83402616304834,72.142438746773,53.7507676882285,44.0969174783216,110.5
N00000015,31.4005615242259,37.8526650536016,73.2596001590327,11.4562670706944,73.2596001590327,54.9328533660975,44.0969174783216,110.5
N00000016,30.0802640216665,37.8526650536016,73.2596001590327,9.83402616304834,72.142438746773,53.7507676882285,44.0969174783216,110.5
N00000017,28.7486181479082,35.2996111471651,71.0219095730246,9.83402616304834,74.3734648968056,57.2824173957882,42.8625469209214,109.2
N00000018,27.4048869057523,35.2996111471651,71.0219095730246,11.4562670706944,74.3734648968056,56.1100223905244,42.8625469209214,109.2
N00000019,27.4048869057523,35.2996111471651,71.0219095730246,9.83402616304834,74.3734648968056,56.1100223905244,44.0969174783216,110.5
N00000020,27.4048869057523,35.2996111471651,71.0219095730246,9.83402616304834,74.3734648968056,56.1100223905244,42.8625469209214,109.2
N00000021,27.4048869057523,35.2996111471651,69.8979386453122,9.83402616304834,74.3734648968056,57.2824173957882,42.8625469209214,109.2
N00000022,27.4048869057523,35.2996111471651,69.8979386453122,9.83402616304834,74.3734648968056,56.1100223905244,42.8625469209214,109.2
N00000023,27.4048869057523,35.2996111471651,69.8979386453122,9.83402616304834,74.3734648968056,56.1100223905244,42.8625469209214,109.2
